reporting_year,facility_id,facility_name,city,state,zip_code,latitude,longitude,primary_naics_code,industry_type_subparts,industry_type_sectors,total_reported_direct_emissions_mtco2e,continuous_emissions_monitoring,source_system,evidence_class,data_classification
2023,1003407,UNISEA - DUTCH HARBOR,DUTCH HARBOR,AK,99692,53.878067,-166.551511,311710,C,Other,37469.544,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72206,34.70537,-92.24607,327999,C,Minerals,32128.98,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003409,Inver Hills Generating Plant,Inver Grove Heights,MN,55075,44.781,-93.042,221112,C,Power Plants,64751.54,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003410,Key City/Wilmarth Plant,Mankato,MN,56001,44.196163,-94.003383,221112,C,Power Plants,70204.57,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003411,Alderson Regional Landfill,ALDERSON,OK,74522,34.894582,-95.686187,562212,HH,Waste,17676.75,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003412,BACKRIDGE LANDFILL,LA GRANGE,MO,63448,40.0161,-91.5217,562212,HH,Waste,25079.0,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003413,Benson Valley LF,FRANKFORT,KY,40601,38.130462,-84.98666,562212,"C,HH",Waste,26621.9,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003416,"CONTINENTAL TIRE the AMERICAS, LLC",MOUNT VERNON,IL,62864,38.29007,-88.89037,326211,C,Other,61002.02,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003417,Cleveland-Cliffs Steel Corporation,COSHOCTON,OH,43812,40.20669,-81.88549,331110,C,Metals,37239.36,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003418,Cleveland-Cliffs Steel Corporation - Zanesville Works,ZANESVILLE,OH,43701,39.96136,-82.00034,331110,C,Metals,18757.028,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003420,KAMIN LLC - Wrens Main,WRENS,GA,30833,33.272872,-82.404529,212323,C,Other,36665.212,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003422,ADKINS ENERGY LLC,LENA,IL,61048,42.3586,-89.80342,325193,C,Other,89423.364,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003426,MMSD-JONES ISLAND WASTEWATER TREATMENT PLANT,MILWAUKEE,WI,53207,43.01932,-87.8978,221320,C,Other,73395.356,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
